Year,Country,Metier,Area,Species,Discard_ID,DR,Landings,Match
2009,FRA,OTT_CRU,27.7.k,MON,2009_FRA_MON_27.7.k_OTT_CRU,NA,1.4839868,AC_Missmatches
2009,FRA,OTT_DEF,27.7.b,HAD,2009_FRA_HAD_27.7.b_OTT_DEF,NA,3.57793,AC_Missmatches
2009,FRA,OTT_DEF,27.7.b,MEG,2009_FRA_MEG_27.7.b_OTT_DEF,NA,0.43871544,AC_Missmatches
2009,FRA,OTT_DEF,27.7.b,MON,2009_FRA_MON_27.7.b_OTT_DEF,NA,24.4406575959,AC_Missmatches
2009,FRA,OTT_DEF,27.7.c,HAD,2009_FRA_HAD_27.7.c_OTT_DEF,NA,0.37682,AC_Missmatches
2009,FRA,OTT_DEF,27.7.c,MEG,2009_FRA_MEG_27.7.c_OTT_DEF,NA,0.13116528,AC_Missmatches
2009,FRA,OTT_DEF,27.7.c,MON,2009_FRA_MON_27.7.c_OTT_DEF,NA,10.5284802,AC_Missmatches
2009,FRA,OTT_DEF,27.7.f,HAD,2009_FRA_HAD_27.7.f_OTT_DEF,NA,36.67682,AC_Missmatches
2009,FRA,OTT_DEF,27.7.f,MEG,2009_FRA_MEG_27.7.f_OTT_DEF,NA,2.50455912,AC_Missmatches
2009,FRA,OTT_DEF,27.7.f,MON,2009_FRA_MON_27.7.f_OTT_DEF,NA,5.14083419344,AC_Missmatches
2009,FRA,OTT_DEF,27.7.g,HAD,2009_FRA_HAD_27.7.g_OTT_DEF,NA,532.04323,AC_Missmatches
2009,FRA,OTT_DEF,27.7.g,MEG,2009_FRA_MEG_27.7.g_OTT_DEF,NA,105.97505244,AC_Missmatches
2009,FRA,OTT_DEF,27.7.g,MON,2009_FRA_MON_27.7.g_OTT_DEF,NA,219.49414779508,AC_Missmatches
2009,FRA,OTT_DEF,27.7.h,HAD,2009_FRA_HAD_27.7.h_OTT_DEF,NA,342.69122,AC_Missmatches
2009,FRA,OTT_DEF,27.7.h,MEG,2009_FRA_MEG_27.7.h_OTT_DEF,NA,527.96930822844,AC_Missmatches
2009,FRA,OTT_DEF,27.7.h,MON,2009_FRA_MON_27.7.h_OTT_DEF,NA,1596.40847200984,AC_Missmatches
2009,FRA,OTT_DEF,27.7.j,HAD,2009_FRA_HAD_27.7.j_OTT_DEF,NA,97.51536,AC_Missmatches
2009,FRA,OTT_DEF,27.7.j,MEG,2009_FRA_MEG_27.7.j_OTT_DEF,NA,30.09285696,AC_Missmatches
2009,FRA,OTT_DEF,27.7.j,MON,2009_FRA_MON_27.7.j_OTT_DEF,NA,590.4709709262,AC_Missmatches
2009,FRA,OTT_DEF,27.7.k,HAD,2009_FRA_HAD_27.7.k_OTT_DEF,NA,0.00754,AC_Missmatches
2009,FRA,OTT_DEF,27.7.k,MEG,2009_FRA_MEG_27.7.k_OTT_DEF,NA,0.9184698,AC_Missmatches
2009,FRA,OTT_DEF,27.7.k,MON,2009_FRA_MON_27.7.k_OTT_DEF,NA,9.314052,AC_Missmatches
2009,FRA,SSC_DEF,27.7.d,COD,2009_FRA_COD_27.7.d_SSC_DEF,NA,11.95762,AC_Missmatches
2009,FRA,SSC_DEF,27.7.d,WHG,2009_FRA_WHG_27.7.d_SSC_DEF,NA,36.37153,AC_Missmatches
2009,IE,DRB_MOL,27.7.j,MON,2009_IE_MON_27.7.j_DRB_MOL,NA,0.039,AC_Missmatches
2009,IE,FPO_CRU,27.7.b,MON,2009_IE_MON_27.7.b_FPO_CRU,NA,0.1092,AC_Missmatches
2009,IE,FPO_CRU,27.7.b,NEP.FU.17,2009_IE_NEP.FU.17_27.7.b_FPO_CRU,NA,0.67,AC_Missmatches
2009,IE,FPO_CRU,27.7.g,COD,2009_IE_COD_27.7.g_FPO_CRU,NA,0.02,AC_Missmatches
2009,IE,FPO_CRU,27.7.g,MON,2009_IE_MON_27.7.g_FPO_CRU,NA,0.039,AC_Missmatches
2009,IE,FPO_CRU,27.7.j,HAD,2009_IE_HAD_27.7.j_FPO_CRU,NA,0.09,AC_Missmatches
2009,IE,FPO_CRU,27.7.j,MEG,2009_IE_MEG_27.7.j_FPO_CRU,NA,0.1422,AC_Missmatches
2009,IE,FPO_CRU,27.7.j,MON,2009_IE_MON_27.7.j_FPO_CRU,NA,0.0234,AC_Missmatches
2009,IE,FPO_CRU,27.7.j,WHG,2009_IE_WHG_27.7.j_FPO_CRU,NA,0.13,AC_Missmatches
2009,IE,GNS_DEF,27.7.b,COD,2009_IE_COD_27.7.b_GNS_DEF,NA,5.27,AC_Missmatches
2009,IE,GNS_DEF,27.7.b,MEG,2009_IE_MEG_27.7.b_GNS_DEF,NA,0.41712,AC_Missmatches
2009,IE,GNS_DEF,27.7.b,MON,2009_IE_MON_27.7.b_GNS_DEF,NA,1.8018,AC_Missmatches
2009,IE,GNS_DEF,27.7.g,COD,2009_IE_COD_27.7.g_GNS_DEF,NA,165.99,AC_Missmatches
