"","scenario","fleet","stock","catch","tacshare","effort","catch_ssa","tac_ssa","effort_ssa","limitation"
"73","fixedEffort","IE_Beam_24<40m","sol.27.7fg",18.4013113376329,0.00440707146072569,9768.18433333333,1413,6.2271919740054,3305.65349202789,NA
"74","fixedEffort","IE_Beam_24<40m","whg.27.7b-ce-k",46.5430396183084,0.00442821494063432,9768.18433333333,5261,23.2968388026772,4889.40597079065,NA
"75","fixedEffort","IE_Beam_24<40m","had.27.7b-k",589.121107557242,0.0169245472107476,9768.18433333333,18382,311.107026827962,5158.44831642793,NA
"76","fixedEffort","IE_Beam_24<40m","nep.out.7",0,0,9768.18433333333,150,0,NA,NA
"77","fixedEffort","IE_Beam_24<40m","nep.fu.22",1.12888927745729,0.000395205324466466,9768.18433333333,1560,0.616520306167687,5334.69855383307,NA
"78","fixedEffort","IE_Beam_24<40m","nep.fu.2021",11.0578959139109,0.0052727261040604,9768.18433333333,1710,9.01636163794328,7964.7595872763,NA
"79","fixedEffort","IE_Beam_24<40m","nep.fu.19",0.0243352050006648,0.000059668897837035,9768.18433333333,595,0.0355029942130358,14250.9500885128,NA
"80","fixedEffort","IE_Beam_24<40m","nep.fu.16",0,0.00000548487978741742,9768.18433333333,3290,0.0180452545006033,Inf,NA
"81","fixedEffort","IE_Otter_10<24m","cod.27.7e-k",127.147885239705,0.227726161789498,57099.6553333333,0,0,0,"choke"
"82","fixedEffort","IE_Otter_10<24m","meg.27.7b-k8abd",1720.30186158167,0.0817387875609424,57099.6553333333,19184,1568.07690056912,52047.0578787475,"intermediate"
"83","fixedEffort","IE_Otter_10<24m","mon.27.78abd",1759.0314776666,0.0535516558368611,57099.6553333333,34579,1851.76270718282,60109.7897801803,"intermediate"
"84","fixedEffort","IE_Otter_10<24m","sol.27.7fg",25.6755791003445,0.0154982217301679,57099.6553333333,1413,21.8989873047272,48700.9318217165,"intermediate"
"85","fixedEffort","IE_Otter_10<24m","whg.27.7b-ce-k",1965.94443846443,0.257337580277058,57099.6553333333,5261,1353.8530098376,39321.8336801545,"intermediate"
"86","fixedEffort","IE_Otter_10<24m","had.27.7b-k",2735.80534481941,0.156291776883279,57099.6553333333,18382,2872.95544266843,59962.1482116887,"intermediate"
"87","fixedEffort","IE_Otter_10<24m","nep.out.7",47.3813000763798,0.253233495620546,57099.6553333333,150,37.9850243430819,45776.1140855544,"intermediate"
"88","fixedEffort","IE_Otter_10<24m","nep.fu.22",1960.71034484584,0.580420610502071,57099.6553333333,1560,905.456152383231,26368.6241858399,"intermediate"
"89","fixedEffort","IE_Otter_10<24m","nep.fu.2021",976.402877525684,0.404681398463059,57099.6553333333,1710,692.005191371831,40468.1907701255,"intermediate"
"90","fixedEffort","IE_Otter_10<24m","nep.fu.19",286.506444907044,0.808911616974087,57099.6553333333,595,481.302412099582,95921.7578889179,"least"
"91","fixedEffort","IE_Otter_10<24m","nep.fu.16",1235.50667807205,0.332205397859098,57099.6553333333,3290,1092.95575895643,50511.5822023543,"intermediate"
"92","fixedEffort","IE_Otter_10<24m","nep.fu.17",193.481695825331,0.638679867917332,57099.6553333333,508,324.449372902005,95750.3875847006,"intermediate"
"93","fixedEffort","IE_Otter_24<40m","cod.27.7e-k",64.004416155266,0.110341018911789,41603.0593333333,0,0,0,"choke"
"94","fixedEffort","IE_Otter_24<40m","meg.27.7b-k8abd",886.781931995249,0.0410882742204401,41603.0593333333,19184,788.237452644923,36979.8800899768,"intermediate"
"95","fixedEffort","IE_Otter_24<40m","mon.27.78abd",1041.98666690997,0.031829222496425,41603.0593333333,34579,1100.62268470388,43944.2003525218,"intermediate"
"96","fixedEffort","IE_Otter_24<40m","sol.27.7fg",13.1136746233515,0.00784774084078021,41603.0593333333,1413,11.0888578080224,35179.3393214564,"intermediate"
"97","fixedEffort","IE_Otter_24<40m","whg.27.7b-ce-k",1484.63004341071,0.204319656162896,41603.0593333333,5261,1074.925711073,30122.1158329502,"intermediate"
"98","fixedEffort","IE_Otter_24<40m","had.27.7b-k",1458.85485345447,0.0809769655909728,41603.0593333333,18382,1488.51858149326,42448.9980740678,"intermediate"
"99","fixedEffort","IE_Otter_24<40m","nep.out.7",62.2918506067708,0.192507811114506,41603.0593333333,150,28.8761716671759,19285.621979233,"intermediate"
"100","fixedEffort","IE_Otter_24<40m","nep.fu.22",890.755580041422,0.25743035667721,41603.0593333333,1560,401.591356416448,18756.4685566947,"intermediate"
"101","fixedEffort","IE_Otter_24<40m","nep.fu.2021",816.049362471835,0.287184984946841,41603.0593333333,1710,491.086324259098,25036.100051662,"intermediate"
"102","fixedEffort","IE_Otter_24<40m","nep.fu.19",58.191339855551,0.164227436163097,41603.0593333333,595,97.7153245170427,69860.1622466449,"least"
"103","fixedEffort","IE_Otter_24<40m","nep.fu.16",1432.4377621411,0.395617231023824,41603.0593333333,3290,1301.58069006838,37802.5071016676,"intermediate"
"104","fixedEffort","IE_Otter_24<40m","nep.fu.17",99.670059190501,0.320680883454258,41603.0593333333,508,162.905888794763,67998.1873425419,"intermediate"
"105","fixedEffort","IE_Static_10<24m","cod.27.7e-k",10.966216759701,0.0198672279715064,8412.29066666667,0,0,0,NA
"106","fixedEffort","IE_Static_10<24m","meg.27.7b-k8abd",24.0445445740041,0.0012274801322249,8412.29066666667,19184,23.5479788566025,8238.56081551363,NA
"107","fixedEffort","IE_Static_10<24m","mon.27.78abd",49.5433146644878,0.00161102468326248,8412.29066666667,34579,55.7076225225333,9458.96971533085,NA
"108","fixedEffort","IE_Static_10<24m","sol.27.7fg",0.236840172383339,0.000153760370439468,8412.29066666667,1413,0.217263403430968,7716.94633768617,NA
"109","fixedEffort","IE_Static_10<24m","whg.27.7b-ce-k",49.8349790872093,0.00674080704754764,8412.29066666667,5261,35.4633858771481,5986.32357205706,NA
"110","fixedEffort","IE_Static_10<24m","had.27.7b-k",80.0166163275488,0.0115157457195698,8412.29066666667,18382,211.682437817132,22254.5550871191,NA
"111","fixedEffort","IE_Static_10<24m","nep.out.7",0,0,8412.29066666667,150,0,NA,NA
"112","fixedEffort","IE_Static_10<24m","nep.fu.22",0.875977656048304,0.000260171714831237,8412.29066666667,1560,0.40586787513673,3897.67765688794,NA
"113","fixedEffort","IE_Static_10<24m","nep.fu.2021",0.649549865720068,0.000547830416010313,8412.29066666667,1710,0.936790011377635,12132.3246839602,NA
"114","fixedEffort","IE_Static_10<24m","nep.fu.19",0.512806252611838,0.001748769725013,8412.29066666667,595,1.04051798638273,17069.0971507554,NA
"115","fixedEffort","IE_Static_10<24m","nep.fu.16",0.516139344717163,0.000104147265568864,8412.29066666667,3290,0.342644503721563,5584.58716651617,NA
"116","fixedEffort","IE_Static_10<24m","nep.fu.17",0,0,8412.29066666667,508,0,NA,NA
